# BRANCHING PROBABILTY OF MODEL:      TULLY MODEL 3
# k              T1             T2             R1            R2            nR          nFrust      nFrust2
       5.000000       0.836400       0.000000       0.087200       0.076400       0.163600       0.011200       0.000000
       6.000000       0.803800       0.000000       0.087800       0.108400       0.196200       0.006400       0.000000
       7.000000       0.762000       0.000000       0.093800       0.144200       0.238000       0.004600       0.000000
       8.000000       0.729200       0.000000       0.107800       0.163000       0.270800       0.003800       0.000000
       9.000000       0.704600       0.000000       0.121600       0.173800       0.295400       0.001800       0.000000
      10.000000       0.692200       0.000000       0.107800       0.200000       0.307800       0.003600       0.000000
      11.000000       0.669200       0.000000       0.120800       0.210000       0.330800       0.000600       0.000000
      12.000000       0.664800       0.000000       0.130000       0.205200       0.335200       0.000800       0.000000
      13.000000       0.653400       0.000000       0.115000       0.231600       0.346600       0.000800       0.000000
      14.000000       0.639400       0.000000       0.122400       0.238200       0.360600       0.000600       0.000000
      15.000000       0.633200       0.000000       0.126800       0.240000       0.366800       0.000400       0.000000
      16.000000       0.619200       0.000000       0.130400       0.250400       0.380800       0.002000       0.000000
      17.000000       0.627400       0.000000       0.114600       0.258000       0.372600       0.000800       0.000000
      18.000000       0.616000       0.000000       0.072800       0.311200       0.384000       0.001200       0.000000
      19.000000       0.595000       0.000000       0.135200       0.269800       0.405000       0.000400       0.000000
      20.000000       0.597200       0.000000       0.137600       0.265200       0.402800       0.000600       0.000000
      21.000000       0.600600       0.000000       0.141200       0.258200       0.399400       0.000200       0.000000
      22.000000       0.596400       0.000000       0.139200       0.264400       0.403600       0.000600       0.000000
      23.000000       0.586200       0.000000       0.141800       0.272000       0.413800       0.001000       0.000000
      24.000000       0.575800       0.000000       0.139200       0.285000       0.424200       0.000400       0.000000
      25.000000       0.580400       0.000000       0.146600       0.273000       0.419600       0.000200       0.000000
      26.000000       0.576600       0.000400       0.139200       0.283800       0.423000       0.000000       0.000000
      27.000000       0.580400       0.001200       0.145400       0.273000       0.418400       0.000400       0.000000
      28.000000       0.575800       0.221600       0.067400       0.135200       0.202600       0.000000       0.000000
      29.000000       0.573800       0.425800       0.000200       0.000200       0.000400       0.000000       0.000000
      30.000000       0.572000       0.428000       0.000000       0.000000       0.000000       0.000000       0.000000
      31.000000       0.568600       0.431200       0.000000       0.000200       0.000200       0.000000       0.000000
      32.000000       0.553200       0.446800       0.000000       0.000000       0.000000       0.000000       0.000000
      33.000000       0.567800       0.432200       0.000000       0.000000       0.000000       0.000000       0.000000
      34.000000       0.564000       0.436000       0.000000       0.000000       0.000000       0.000000       0.000000
      35.000000       0.548000       0.452000       0.000000       0.000000       0.000000       0.000000       0.000000
